Note - Accuracy greater than 100% implies that the SAM mask had a greater area than the original annotated image, whereas an accuracy of less than 100% means that the SAM mask had a lesser area than the original image.
Low accuracy (~80-85%) is observed in the cases of shadows on the roads or when there are puddles of water and light reflects off them
Higher accuracy is observed due to the model including the footpaths or the edges of the footpath in the mask(especially at night time).
This can be reduced by taking better quality pictures with a good camera, a larger dataset, and making accurate annotations.
(A few images were low in quality, taken from a different phone, just to check how the model performs. This led to slight inaccuracy)
The overall accuracy was ~101% which means that the SAM mask is pretty accurate.
The measure of accuracy here is very crude and just considers the area of the mask and the annotations and finds the accuracy based on that, but it gives us a general idea of the accuracy.


5-5_jpg	Accuracy=101.11%
4-3_jpg	Accuracy=92.69%
1-11_jpg	Accuracy=99.69%
5-34_jpg	Accuracy=101.79%
1-53_jpg	Accuracy=102.53%
7-51_jpg	Accuracy=100.98%
4-0_jpg	Accuracy=104.88%
4-38_jpg	Accuracy=101.71%
1-43_jpg	Accuracy=106.49%
1-54_jpg	Accuracy=101.57%
4-1_jpg	Accuracy=103.31%
6-3_jpg	Accuracy=101.08%
2-6_jpg	Accuracy=99.05%
5-54_jpg	Accuracy=103.14%
4-32_jpg	Accuracy=99.16%
5-13_jpg	Accuracy=103.03%
4-31_jpg	Accuracy=100.95%
1-16_jpg	Accuracy=103.37%
4-58_jpg	Accuracy=104.38%
7-40_jpg	Accuracy=97.28%
5-36_jpg	Accuracy=103.23%
1-36_jpg	Accuracy=103.89%
7-25_jpg	Accuracy=97.61%
7-32_jpg	Accuracy=102.35%
7-16_jpg	Accuracy=100.33%
4-72_jpg	Accuracy=97.75%
4-9_jpg	Accuracy=98.90%
1-61_jpg	Accuracy=102.42%
2-1_jpg	Accuracy=96.38%
1-23_jpg	Accuracy=102.71%
img2_jpg	Accuracy=517.92%
5-10_jpg	Accuracy=102.82%
4-16_jpg	Accuracy=106.36%
7-21_jpg	Accuracy=100.61%
7-10_jpg	Accuracy=98.78%
4-36_jpg	Accuracy=104.13%
1-52_jpg	Accuracy=100.80%
4-62_jpg	Accuracy=103.10%
4-76_jpg	Accuracy=95.54%
4-29_jpg	Accuracy=102.55%
5-48_jpg	Accuracy=102.44%
1-35_jpg	Accuracy=100.98%
5-17_jpg	Accuracy=107.32%
1-28_jpg	Accuracy=100.40%
4-68_jpg	Accuracy=103.89%
7-33_jpg	Accuracy=101.83%
4-25_jpg	Accuracy=98.79%
4-10_jpg	Accuracy=108.06%
3-4_jpg	Accuracy=100.35%
1-10_jpg	Accuracy=100.08%
4-4_jpg	Accuracy=110.46%
5-51_jpg	Accuracy=101.60%
3-2_jpg	Accuracy=100.47%
3-7_jpg	Accuracy=100.69%
1-69_jpg	Accuracy=102.91%
4-46_jpg	Accuracy=101.30%
1-4_jpg	Accuracy=101.44%
2-5_jpg	Accuracy=98.70%
1-66_jpg	Accuracy=104.40%
1-46_jpg	Accuracy=101.87%
4-84_jpg	Accuracy=37.26%
4-77_jpg	Accuracy=99.09%
4-45_jpg	Accuracy=103.30%
1-34_jpg	Accuracy=94.92%
4-24_jpg	Accuracy=98.18%
5-12_jpg	Accuracy=104.74%
4-39_jpg	Accuracy=100.80%
4-20_jpg	Accuracy=103.69%
4-6_jpg	Accuracy=105.69%
7-7_jpg	Accuracy=100.40%
1-44_jpg	Accuracy=101.25%
1-63_jpg	Accuracy=101.72%
1-68_jpg	Accuracy=101.05%
6-8_jpg	Accuracy=103.40%
7-17_jpg	Accuracy=100.57%
4-69_jpg	Accuracy=103.33%
2-2_jpg	Accuracy=96.17%
images11_jpg	Accuracy=88.76%
img3_jpg	Accuracy=101.79%
4-66_jpg	Accuracy=101.78%
4-26_jpg	Accuracy=97.70%
5-20_jpg	Accuracy=102.95%
4-75_jpg	Accuracy=99.56%
5-31_jpg	Accuracy=105.48%
4-52_jpg	Accuracy=106.98%
4-5_jpg	Accuracy=100.67%
5-59_jpg	Accuracy=104.33%
2-3_jpg	Accuracy=77.69%
4-64_jpg	Accuracy=98.77%
1-40_jpg	Accuracy=100.58%
7-8_jpg	Accuracy=101.34%
7-52_jpg	Accuracy=99.93%
5-1_jpg	Accuracy=100.25%
7-18_jpg	Accuracy=98.96%
3-10_jpg	Accuracy=101.86%
1-12_jpg	Accuracy=104.23%
4-53_jpg	Accuracy=104.42%
7-36_jpg	Accuracy=100.17%
1-55_jpg	Accuracy=102.72%
4-48_jpg	Accuracy=100.23%
6-2_jpg	Accuracy=102.14%
5-23_jpg	Accuracy=102.48%
5-45_jpg	Accuracy=104.91%
4-85_jpg	Accuracy=17.10%
3-5_jpg	Accuracy=103.14%
4-51_jpg	Accuracy=102.02%
7-50_jpg	Accuracy=92.16%
7-1_jpg	Accuracy=102.69%
5-6_jpg	Accuracy=101.91%
1-3_jpg	Accuracy=102.20%
2-0_jpg	Accuracy=86.64%
7-47_jpg	Accuracy=87.57%
1-18_jpg	Accuracy=100.16%
4-50_jpg	Accuracy=101.77%
1-26_jpg	Accuracy=99.94%
5-22_jpg	Accuracy=102.21%
4-60_jpg	Accuracy=102.68%
5-21_jpg	Accuracy=111.12%
img5_jpg	Accuracy=58.27%
5-29_jpg	Accuracy=106.55%
7-3_jpg	Accuracy=101.82%
3-11_jpg	Accuracy=100.54%
4-70_jpg	Accuracy=76.22%
5-35_jpg	Accuracy=104.94%
1-27_jpg	Accuracy=100.28%
1-45_jpg	Accuracy=102.22%
1-37_jpg	Accuracy=101.94%
7-14_jpg	Accuracy=100.03%
4-8_jpg	Accuracy=105.83%
5-24_jpg	Accuracy=106.05%
5-58_jpg	Accuracy=103.74%
images10_jpg	Accuracy=104.15%
7-30_jpg	Accuracy=102.26%
5-18_jpg	Accuracy=103.46%
1-7_jpg	Accuracy=100.89%
4-59_jpg	Accuracy=104.22%
4-41_jpg	Accuracy=101.03%
4-12_jpg	Accuracy=103.06%
1-33_jpg	Accuracy=100.34%
1-56_jpg	Accuracy=101.81%
5-50_jpg	Accuracy=62.98%
5-28_jpg	Accuracy=103.62%
4-42_jpg	Accuracy=101.93%
1-9_jpg	Accuracy=100.86%
4-34_jpg	Accuracy=93.30%
7-26_jpg	Accuracy=99.71%
4-7_jpg	Accuracy=107.53%
7-9_jpg	Accuracy=100.92%
5-4_jpg	Accuracy=101.12%
1-58_jpg	Accuracy=106.47%
4-44_jpg	Accuracy=101.51%
7-31_jpg	Accuracy=101.21%
5-47_jpg	Accuracy=99.79%
7-41_jpg	Accuracy=103.78%
4-30_jpg	Accuracy=100.07%
7-13_jpg	Accuracy=92.76%
images12_jpg	Accuracy=101.58%
img4_jpg	Accuracy=100.68%
Net Accuracy=101.61%
